Assembleia constituinte
Ulysses Guimarães
Movimento Democrático Brasileiro (1980)
Mauro Benevides
Jorge Arbage
Partido Democrático Social
Democratas (Brasil)
Partido Trabalhista Brasileiro (1979)
Partido Liberal (1985)
Partido Democrata Cristão (1985)
Partido Social Cristão
Partido Municipalista Brasileiro
Partido Democrático Trabalhista
Partido dos Trabalhadores
Partido Comunista Brasileiro
Partido Comunista do Brasil
Partido Socialista Brasileiro
Palácio do Congresso Nacional
Brasília
Distrito Federal (Brasil)
Congresso Nacional do Brasil
1º de fevereiro
1987
Constituição do Brasil
Brasil
Regime militar no Brasil (1964–1985)
Tancredo Neves
Morte de Tancredo Neves
José Sarney
Palácio do Planalto
22 de setembro
1988
1986
Eleições gerais no Brasil em 1986
Constituinte exclusiva
Deputados federais
Senador
PFL
Centrão
Poder Executivo do Brasil
Sociedade brasileira
Sarney
Reforma agrária
Forças Armadas do Brasil
São Paulo (estado)
Mário Maia
Arnaldo Faria de Sá
Benedita da Silva
Luiz Soyer
Sotero Cunha
Bernardo Cabral
Adolfo Oliveira
Antônio Carlos Konder Reis
José Fogaça
Abigail Feitosa
Acival Gomes
Adauto Pereira
Ademir Andrade
Adhemar de Barros Filho
Adroaldo Streck
Adylson Motta
Aécio de Borba
Aécio Neves
Affonso Camargo Neto
Afif Domingos
Afonso Arinos
Afonso Sancho
Agassiz Almeida
Agripino de Oliveira Lima
Airton Cordeiro
Airton Sandoval
Alarico Abib
Albano Franco
Albérico Cordeiro
Albérico Filho
Alceni Guerra
Alcides Saldanha
Aldo Arantes
Alércio Dias
Alexandre Alves Costa
Alexandre Puzyna
Alfredo José de Campos Melo
Almir Gabriel
Aloisio Vasconcelos
Aloysio Chaves
Aloysio Teixeira
Aluizio Bezerra
Aluízio Campos
Álvaro Antônio
Álvaro Pacheco
Álvaro Valle
Alysson Paulinelli
Amaral Netto
Amaury Müller
Amilcar Moreira
Ângelo Magalhães
Anna Maria Rattes
Annibal Barcellos
Antero de Barros
Antônio Câmara
Antônio Carlos Franco
Antonio Carlos Mendes Thame
Antônio de Jesus
Antonio Gaspar
Antonio Mariz
Antonio Perosa
Antônio Salim Curiati
Antonio Ueno
Arnaldo Martins
Arnaldo Moraes
Arnaldo Prieto
Arnold Fioravante
