Vinicius de Moraes
Baden Powell (músico)
Samba
Samba-canção
Música erudita
Década de 1950
Zona Sul (Rio de Janeiro)
Rio de Janeiro
Instrumento musical
Guitarra acústica
Piano
Contrabaixo
Bateria (instrumento musical)
Brasil
Estados Unidos
Europa Ocidental
Japão
MPB
Sambalanço
Samba-jazz
Gilberto Mendes
Samba de raiz
Ruy Castro
Tamborim
Governo Juscelino Kubitschek
Maestro
Júlio Medaglia
Coloquial
Antônio Carlos Jobim
João Gilberto
Os Cariocas
Milton Banana
Garota de Ipanema
João Donato
Sérgio Mendes
Carlos Lyra
Roberto Menescal
Ronaldo Bôscoli
Nara Leão
Luiz Bonfá
Sérgio Ricardo
Oscar Castro-Neves
Durval Ferreira
Alaíde Costa
Leny Andrade
Newton Mendonça
Década de 1930
Noel Rosa
Década de 1940
Samba de breque
Stan Kenton
Impressionismo
Debussy
Ravel
Cool jazz
Samba sincopado
Dick Farney
Lúcio Alves
Minimalismo
Vicente Celestino
Nelson Gonçalves
Sílvio Caldas
Dorival Caymmi
Cassino da Urca
Tom Jobim
Billy Blanco
Dick Haymes
Crooner
Big band
Johnny Alf
Dolores Duran
Paulo Moura
Sylvia Telles
Luiz Eça
Maurício Einhorn
São Paulo
Orfeu da Conceição
Bando da Lua
Orfeu
Carioca
Copacabana
Chico Feitosa
Luiz Carlos Vinhas
Ultima Hora
Samuel Wainer
Flamengo (bairro do Rio de Janeiro)
Chega de Saudade
Elizeth Cardoso
Canção do Amor Demais
Vibrato
Chega de Saudade (álbum)
Ary Barroso
Marino Pinto
Luís Peixoto
Jairo Severiano
Chico Buarque
Caetano Veloso
Edu Lobo
Gilberto Gil
Revista Manchete
Norma Bengell
Maysa
Sérgio Porto
Beco das Garrafas
Samba jazz
Luís Carlos Miele
Tamba Trio
Bossa Três
Luís Carlos Vinhas
Tenório Jr.
Sarah Vaughan
Stan Getz
Frank Sinatra
Ella Fitzgerald
Aloysio de Oliveira
Cesar Villela
Marcos Valle
Eumir Deodato
Wanda Sá
Francis Hime
Dori Caymmi
Música popular brasileira
Charlie Byrd
Disco de vinil
Jazz Samba
Carnegie Hall
Nova York
Getz/Gilberto
Grammy Award para álbum do ano
Astrud Gilberto
The Girl from Ipanema
Francis Albert Sinatra & Antonio Carlos Jobim
Claus Ogerman
"The Composer of Desafinado, Plays"
Nelson Riddle
Creed Taylor
Amoroso (álbum)
Edison Machado
Teatro de Arena (São Paulo)
Augusto Boal
Gianfrancesco Guarnieri
Vianinha
Leon Hirszman
Ferreira Gullar
Centro Popular de Cultura
União Nacional dos Estudantes
Sérgio Cabral
Cartola (compositor)
Nelson Cavaquinho
Ismael Silva
Zé Keti
Cinema novo
TV Excelsior
Solano Ribeiro
Elis Regina
Sade Adu
Matt Bianco
The Style Council
Drum and bass
Joyce Moreno
Azymuth
Bebel Gilberto
Miúcha
Bossacucanova
Diana Krall
Stacey Kent
Danilo Caymmi
Água Viva (telenovela)
TV Globo
Rock Brasileiro
Lobão (músico)
Faz Parte do Meu Show
Cazuza
Renato Ladeira
Leila Pinheiro
"Bênção, bossa nova"
Chega de Saudade: A História e as Histórias da Bossa Nova
Anitta
Girl from Rio
Sampler
Luísa Sonza
Marcelo Serrado
Daniela Pereira de Carvalho
Eucanaã Ferraz
Daniel Herz (diretor)
Zezé Polessa
Miguel Falabella
Firjan SESI
Corcovado (canção)
Nelson Motta
César Camargo Mariano
Hélio Delmiro
Luizão Maia
Paulo Braga
Chico Batera
Hubert Laws
Jerome Richardson
Aloísio de Oliveira
Os Desafinados
Walter Lima Jr.
