Estados Unidos
Língua materna
Segunda língua
Família linguística
Línguas indo-europeias
Línguas germânicas
Línguas germânicas ocidentais
Línguas anglo-frísias
Línguas ânglicas
Língua inglesa
Escrita
Alfabeto latino
ISO 639
Variação linguística
Língua oficial
De facto
Diferenças entre o inglês americano e o britânico
Vocábulo
Inglês britânico
Língua portuguesa
Reino Unido
Línguas dos Estados Unidos
Ethnologue
Linguística
Tesauro de Arte e Arquitetura
Biblioteca Nacional da França
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
