Dígito verificador
Mídia
Organização Internacional para Padronização
15 de março
2012
Pseudónimo
Editoração
Língua inglesa
ORCID
Reino Unido
Lucro
Online Computer Library Center
Biblioteca Nacional da França
Biblioteca Britânica
Algoritmo
Base Virtual Internacional de Autoridade
Controle de autoridade
ResearcherID
Dublin (Ohio)
Ohio
EUA
International Standard Book Number
International Standard Serial Number
ISRC
International Standard Music Number
International Standard Audiovisual Number
Digital object identifier
Lista de romanizações ISO
Lista de normas IEC
ISO 1
ISO 4
ISO 9
ISO 31
ISO 31-1
ISO 128
ISO 216
ISO 269
ISO 639
ISO 639-1
ISO 639-2
ISO 639-3
ISO 646
ISO 1000
ISO 1745:1975
ISO 2108
ISO 3103
ISO 3166
ISO 3166-1
ISO 3166-2
ISO 3166-3
ISO 4217
ISO 5218
ISO 6709
Pinyin
Pascal (linguagem de programação)
ISO/IEC 7810
ISO/IEC 7813
ISO/IEC 7816
ISO 8583
ISO 8601
ISO/IEC 8859
ISO 9000
SQL
ISO 9126
X.500
ISO 9660
POSIX
ISO 10006
STEP
ISO/IEC 11801
ISO 12207
Prolog
ISO 13490
ISO 14000
Cavalo-vapor
C++
ISO 14971
Common Criteria
ISO 15504
ISO 15919
ISO 15924
ISO 15926
ECMAScript
ISO/IEC 17024
ISO/IEC 17025
ISO/IEC 17799
QR Code
PDF/A
UML
X3D
ISO/IEC 20000
OpenDocument
ISO/IEC 27001
ISO/IEC 27002
ISO 29110
Portable Document Format
ISO/IEC 38500
ISO/IEC 80000
